day,x,y,z
0,-1.471858391663588E11,-2.860995816266412E10,8278183.19359608
1,-1.7881159131453238E11,-3.347066767308129E10,8335456.790302434
2,-2.1040779984856592E11,-3.83256486709412E10,8392449.233083427
3,-2.419826252334552E11,-4.317661354427471E10,8449265.462273417
4,-2.7354125826136374E11,-4.802461008648595E10,8505963.335403884
5,-3.0508720466410834E11,-5.287032491483358E10,8562577.478675595
6,-3.3662294299866595E11,-5.771423188707243E10,8619129.935554018
7,-3.6815029012186096E11,-6.255667155315892E10,8675635.436620276
8,-3.9967061744056525E11,-6.739789675975905E10,8732104.219943114
9,-4.311849855128615E11,-7.223810032437888E10,8788543.636695623
10,-4.6269423138817566E11,-7.707743260971867E10,8844959.112303803
11,-4.9419902728923474E11,-8.191601311464476E10,8901354.746356668
12,-5.256999212233263E11,-8.675393836751135E10,8957733.700534131
13,-5.57197365812362E11,-9.159128745087685E10,9014098.457202975
14,-5.886917392176914E11,-9.642812596136932E10,9070450.996418672
15,-6.201833606254071E11,-1.0126450890756522E11,9126792.919926738
16,-6.516725019050262E11,-1.0610048286995331E11,9183125.539842507
17,-6.831593965227963E11,-1.1093608763735196E11,9239449.943249527
18,-7.146442464504904E11,-1.1577135746489972E11,9295767.04004263
19,-7.46127227587356E11,-1.2060632205391321E11,9352077.598897658
20,-7.776084940633542E11,-1.2544100732422675E11,9408382.274686852
21,-8.09088181689704E11,-1.302754360295735E11,9464681.629637405
22,-8.405664107517621E11,-1.3510962825276573E11,9520976.149850035
23,-8.720432882891401E11,-1.3994360180777142E11,9577266.25833264
24,-9.035189099720306E11,-1.4477737256892004E11,9633552.32538571
25,-9.349933616566211E11,-1.496109547425222E11,9689834.676953332
26,-9.664667206832849E11,-1.5444436109257578E11,9746113.60139548
27,-9.979390569669633E11,-1.5927760312956274E11,9802389.35502363
28,-1.0294104339184202E12,-1.6411069126934625E11,9858662.166659065
29,-1.0608809092269058E12,-1.689436349676735E11,9914932.241412457
30,-1.0923505355285178E12,-1.7377644283464233E11,9971199.76383813
31,-1.1238193609797263E12,-1.786091227326085E11,1.002746490058251E7
32,-1.155287429751765E12,-1.834416818603258E11,1.0083727802620646E7
33,-1.186754782458641E12,-1.8827412682557846E11,1.0139988607155044E7
34,-1.2182214565291814E12,-1.931064637081428E11,1.0196247439236006E7
35,-1.24968748653167E12,-1.9793869811458328E11,1.0252504413150944E7
36,-1.2811529044581501E12,-2.0277083522612122E11,1.0308759633621005E7
37,-1.312617739974258E12,-2.0760287984060052E11,1.0365013196836138E7
38,-1.3440820206394841E12,-2.1243483640940323E11,1.0421265191354044E7
39,-1.3755457721019668E12,-2.1726670907002655E11,1.0477515698883904E7
40,-1.4070090182712717E12,-2.2209850167491913E11,1.053376479497215E7
41,-1.4384717814720776E12,-2.2693021781708047E11,1.0590012549604585E7
42,-1.4699340825812444E12,-2.3176186085284976E11,1.064625902773682E7
43,-1.5013959411503762E12,-2.365934339222463E11,1.0702504289763004E7
44,-1.5328573755156824E12,-2.4142493996717087E11,1.0758748391931273E7
45,-1.5643184028966836E12,-2.462563817477319E11,1.0814991386713035E7
46,-1.5957790394850967E12,-2.5108776185692404E11,1.0871233323132096E7
47,-1.6272393005250469E12,-2.5591908273385434E11,1.0927474247058766E7
48,-1.658699200385604E12,-2.6075034667568533E11,1.0983714201473327E7
49,-1.6901587526265083E12,-2.6558155584844156E11,1.1039953226702614E7
50,-1.7216179700578376E12,-2.7041271229680667E11,1.1096191360632924E7
51,-1.7530768647942756E12,-2.7524381795302246E11,1.1152428638902066E7
52,-1.7845354483045557E12,-2.8007487464498676E11,1.1208665095072921E7
53,-1.8159937314565867E12,-2.849058841036348E11,1.1264900760790639E7
54,-1.8474517245587058E12,-2.897368479696798E11,1.1321135665925259E7
55,-1.8789094373974502E12,-2.9456776779977704E11,1.1377369838701366E7
56,-1.9103668792721936E12,-2.9939864507217084E11,1.143360330581615E7
